"Organization", "Name", "LinkedIn", "Designation", "Tags", "Location", "Twitter", "Class"
grapefruit-health,Eric Alvarez,https://www.linkedin.com/in/eric-alvarez-grapefruithealth/,Founder and CEO,,"Chicago, Illinois, United States",https://twitter.com/crunchbase,B
oatmeal-health,Jonathan Govette,https://www.linkedin.com/in/jonathangovette,Business Management,Non-Management,,,A
oatmeal-health,Ryan LaRanger PhD,https://www.linkedin.com/in/ryan-laranger-ph-d-a1761313,Technical Director,,"New Haven, Connecticut, United States",https://twitter.com/crunchbase,B
oatmeal-health,Yuri Ahuja MD,,CTO and Co-Founder,,,https://twitter.com/crunchbase,B
oatmeal-health,Jonathan Govette,https://oatmealhealth.com/,CEO and Co-Founder,,"San Francisco, California, United States",https://twitter.com/GovetteJonathan,B
oatmeal-health,Ashish Basuray PhD,https://oatmealhealth.com/,COO and Co-Founder,,"San Francisco, California, United States",https://twitter.com/AshishBasuray,B
neuroreef,Satwant Kumar,https://scholar.google.com/citations?user=r4PsqXMAAAAJ&hl=en,"Founder, CEO",,"Austin, Texas, United States",https://twitter.com/Satwant_Kumar_,B
bobomed-care,Andrzej Haremski,https://app.dealroom.co/people/andrzej_haremski,CEO,,"Warsaw, Mazowieckie, Poland",https://twitter.com/AndrzejHaremski,B
radbutter-health,Elan Adler,https://www.linkedin.com/in/adler-elan,Business Management,Non-Management,,,A
radbutter-health,Mert Karabay,https://www.linkedin.com/in/mert-karabay,Business Management,Non-Management,,,A
radbutter-health,Kyle Conklin,https://www.linkedin.com/in/kyle-conklin-rt-r-mr-31589b22,Senior Vice President Operations,"VP
Operations",,,A
unlocked-labs,Michael Foltz,https://www.linkedin.com/in/michael-foltz,Engineering,"Manager
Engineering",,,A
agentai,Sean Xie,,CTO,,,https://twitter.com/ShunxingSeanXie,B
sporo-health,Kimon-Aristotelis Vogt,,CEO,,,https://www.twitter.com/KimonV99,B
sporo-health,Sonu Kumar,,CTO,,,https://twitter.com/crunchbase,B
sporo-health,Chanseo Lee,https://www.linkedin.com/in/chanseoleemit/,CSO,,"New Haven, Connecticut, United States",https://twitter.com/crunchbase,B
mika-008e,Oriana Fuentes,https://www.linkedin.com/in/orianafuentes/,CEO,,,https://twitter.com/crunchbase,B
carelog,Sathis Kumar,https://www.linkedin.com/in/sathisprofile,Co-Founder,Non-Management,,,A
carelog,Aman Alok,https://www.linkedin.com/in/aman-alok-0b70b792,Business Management,Non-Management,,,A
carelog,Sathis Kumar,https://www.linkedin.com/in/sathisprofile/,CTO,,"Erode, Tamil Nadu, India",https://twitter.com/crunchbase,B
carelog,Aman Alok,https://www.linkedin.com/in/aman-alok-0b70b792/,CEO,,"Paris, Ile-de-France, France",https://twitter.com/crunchbase,B
madglove,Cara Knott,https://www.linkedin.com/in/cara-knott-77728923a,Co-Founder,"Executive
Management",,,A
bioeureka,Kim Cayer-Roy,,Board Member,,,https://twitter.com/crunchbase,B
bioeureka,Mohamed M Diallo,,Board Member,,,https://twitter.com/crunchbase,B
bioeureka,Emile Grenier,,Board Member,,,https://twitter.com/crunchbase,B
noma-ai,Salim Malakouti,https://www.linkedin.com/in/salimmalakouti,Business Management,Non-Management,,,A
noma-ai,Gilles Clermont,,Chief Medical Officer and Co-Founder,,,https://twitter.com/crunchbase,B
noma-ai,Salim Malakouti,,CEO and Co-founder,,,https://twitter.com/crunchbase,B
noma-ai,Milos Hauskrecht,,Chief Scientific Officer and Co-Founder,,,https://twitter.com/crunchbase,B
smartrr-solutions,Daniel Warfield,https://www.linkedin.com/in/daniel-warfield-608b47152,Co-Founder,"Executive
Sales",,,A
glooma,Frederick Stock,https://www.linkedin.com/in/fredericostock,Co-Founder,,"Lisbon, Lisboa, Portugal",https://twitter.com/crunchbase,B
glooma,Guilherme Stock,,CIO,,"Braga, Braga, Portugal",https://twitter.com/crunchbase,B
glooma,Francisco Neto Nogueira,https://www.facebook.com/francisco.netonogueira,Co-Founder,,"Lisbon, Lisboa, Portugal",https://twitter.com/crunchbase,B
metastx-llc,Harvey Homan,https://www.linkedin.com/in/harvey-homan-6aabb65/,Chief Executive Officer and Co-Founder,,"Philadelphia, Pennsylvania, United States",https://twitter.com/crunchbase,B
hanalytics-solutions-inc,Shaneel Pathak,https://www.linkedin.com/in/shaneel-pathak-a53566,Co-Founder,,"Calgary, Alberta, Canada",https://twitter.com/crunchbase,B
hanalytics-solutions-inc,Mike Urquhart,,COO/CFO & Cofounder,,,https://twitter.com/crunchbase,B
superpower-d964,Alix Smithson,https://www.linkedin.com/in/alixsmithson,Business Development Manager,"Manager
Marketing",,,A
superpower-d964,Bernice Ruzzo,https://www.linkedin.com/in/bernice-ruzzo-70348727,Accounting & Administration Manager,"Manager
Finance",,,A
superpower-d964,Boiteko Lesetedi,https://www.linkedin.com/in/boiteko-lesetedi-378522a6,Sales Manager,"Manager
Sales",,,A
superpower-d964,Richard Pasquini,https://www.linkedin.com/in/richard-pasquini-285b862b,Associate Manager Manufacturing and Engineering,"Manager
Engineering",,,A
superpower-d964,Art Kazanjian,https://www.linkedin.com/in/art-kazanjian-28653129,GM,"Non-Management
Management",,,A
superpower-d964,Yifei Zhang,https://www.linkedin.com/in/zhangyifei,Vice President of R&D,"Non-Management
Engineering",,,A
superpower-d964,Max Marchione,,Founder,,,https://www.twitter.com/maxmarchione,B
elythea,Reetam Ganguli,,CEO,,,https://www.twitter.com/ReetamGanguli,B
levy-health,Mark Johnson,https://www.linkedin.com/in/mark-johnson-a98a6182,Vice President of Operations,"Non-Management
Operations",,,A
levy-health,Daniel Madero,https://www.linkedin.com/in/dimadero,Consulting,Non-Management,,,A
levy-health,Nina Resetkova,https://www.linkedin.com/in/nina-resetkova-md-mba-561593119,Consulting,Non-Management,,,A
shasta-health,Srinjoy Majumdar,https://www.linkedin.com/in/srinjoym,Co-Founder & CEO,Non-Management,,,A
shasta-health,Pransu D.,https://www.linkedin.com/in/pransudash,Business Management,Non-Management,,,A
shasta-health,Pransu Dash,,CTO,,,https://twitter.com/crunchbase,B
shasta-health,Srinjoy Majumdar,,CEO,,,https://www.twitter.com/SrinjoyMajumdar,B
unlocked-labs,Michael Foltz,https://www.linkedin.com/in/michael-foltz,Engineering,"Manager
Engineering",,,A
kubanda-cryotherapy,Bailey Surtees,https://www.linkedin.com/in/bailey-surtees,CEO,"Non-Management
Management",,,A
kubanda-cryotherapy,Shelly Forbes,https://www.linkedin.com/in/shelly-forbes-90b69725,Business Owner,Non-Management,,,A
kubanda-cryotherapy,Jim Holtz,https://www.linkedin.com/in/jamie-holtz-576751141,Marketing and Product,Director,,,A
kubanda-cryotherapy,Naomi Gordon,https://www.linkedin.com/in/naomi-gordon-79777a189,Engineering,"Non-Management
Engineering",,,A
kubanda-cryotherapy,Bailey Surtees,https://www.linkedin.com/in/bailey-surtees/,CEO and Co-Founder,,,https://twitter.com/crunchbase,B
kubanda-cryotherapy,Clarisse Hu,,CTO and Co-Founder,,,https://twitter.com/crunchbase,B
kubanda-cryotherapy,Nicholas Durr,https://www.linkedin.com/in/ndurr/,Co-Founder,,"Baltimore, Maryland, United States",https://twitter.com/crunchbase,B
pattern-biosciences,Bartolomeo Angelici,https://www.linkedin.com/in/bartolomeo-angelici-b59485a6,"Co-Founder, Vice President, Discovery Research",,"Basel, Basel-Stadt, Switzerland",https://twitter.com/crunchbase,B
pattern-biosciences,Yaakov Benenson,https://www.linkedin.com/in/yaakov-benenson-b7610678,Co-Founder,,"Basel, Basel-Stadt, Switzerland",https://twitter.com/crunchbase,B
pattern-biosciences,Linling Shen,https://www.linkedin.com/in/linling-shen-46938750,"Co-Founder, Vice President, Research & Development",,"Basel, Basel-Stadt, Switzerland",https://twitter.com/crunchbase,B
journeytrack,Ania Rodriguez,https://www.linkedin.com/in/aniah,Chief Executive Officer and Founder,"Executive
Management",,,A
journeytrack,Carol Hindsman,https://www.linkedin.com/in/carol-hindsman-21750b8,Co-Founder and CTO,"Executive
Management",,,A
journeytrack,Claudia Panfil,https://www.linkedin.com/in/claudiapanfil,Fractional Chief Marketing Officer,"Non-Management, Executive
Marketing",,,A
journeytrack,Erryca Robicheaux,https://www.linkedin.com/in/erryca,Senior Enterprise Account Director,"Director
Sales",,,A
journeytrack,Alex D. Rodriguez,https://www.linkedin.com/in/alexdrodriguez,Chief Financial Officer,"Executive
Finance",,,A
journeytrack,"Christin Bowman, PhD",https://www.linkedin.com/in/c-bowman,Marketing and Product,Manager,,,A
journeytrack,John Giannitsis,https://www.linkedin.com/in/johngiannitsis,Finance and Administration,Non-Management,,,A
journeytrack,Ania Rodriguez,http://www.keylimeinteractive.com/,CEO,,"Miami, Florida, United States",https://twitter.com/aniaster,B
topology-health,Josh Liben,,CTO,,,https://twitter.com/crunchbase,B
topology-health,Alexander Goel,,CEO,,,https://twitter.com/crunchbase,B
biophy,Daniel Sciubba,https://www.linkedin.com/in/daniel-sciubba-md-mba-a44028122,"Co-Founder, Chief Medical Officer","Executive
Management",,,A
hhc-medical,Dan Hale,https://www.linkedin.com/in/dan-hale-0bbb0326,Chief Medical Officer,Non-Management,,,A
hhc-medical,Brad O'Shoney,https://www.linkedin.com/in/brad-o-shoney-0206b042,Finance and Administration,Non-Management,,,A
hhc-medical,Carrie Boutwell,https://www.linkedin.com/in/carrie-boutwell-4625a952,Engineering,"Non-Management
Engineering",,,A
hhc-medical,Cody Blue,https://www.linkedin.com/in/cody-blue-13951b28,Operations,"Non-Management
Operations",,,A
hhc-medical,Donna Ivey,https://www.linkedin.com/in/donna-ivey-2a38133a,Healthcare,Non-Management,,,A
hhc-medical,Katie Hampton,https://www.linkedin.com/in/katie-hampton-01799751,Finance and Administration,Non-Management,,,A
hhc-medical,Krystal Keller,https://www.linkedin.com/in/krystal-keller-ab60844a,Healthcare,Non-Management,,,A
hhc-medical,laura Mucerino,https://www.linkedin.com/in/laura-mucerino-36763036,Business Management,Non-Management,,,A
hhc-medical,Lisa Largent,https://www.linkedin.com/in/lisa-largent-503a1849,Healthcare,Non-Management,,,A
hhc-medical,Marissa Bostick,https://www.linkedin.com/in/marisabostick,Sales and Support,Non-Management,,,A
hhc-medical,Niels Jerichau Clausen,https://www.linkedin.com/in/niels-clausen-5766053/,CEO,,,https://twitter.com/crunchbase,B
hhc-medical,Carl Frederik Haugaard,https://www.linkedin.com/in/carl-frederik-haugaard-58a94778/,CSO,,,https://twitter.com/crunchbase,B
xala,Jose Jimenez,,Chief Executive Officer,,,https://twitter.com/crunchbase,B
xala,Jose Santiago Martine,,Cosmetic Chemist & Formulator,,,https://twitter.com/crunchbase,B
unfabled,Hannah Samano,,Founder and CEO,,,https://twitter.com/crunchbase,B
oraltec-7d28,Davide Toffaloni,,Founder,,,https://twitter.com/crunchbase,B
oraltec-7d28,Erica Morsut,,Founder,,,https://twitter.com/crunchbase,B
coprata,Sonia Grego,https://www.linkedin.com/in/sonia-grego,Co-Founder,"Non-Management, Executive
Medical & Science",,,A
coprata,Chase Moyle,https://www.linkedin.com/in/chasemoyle,Chief Executive Officer,"Non-Management, Executive",,,A
coprata,Juan Requena,https://www.linkedin.com/in/juan-jos%C3%A3%C2%A9-botella-requena-1876aa83,Business Management,Non-Management,,,A
coprata,Sonia Grego,,CEO,,,https://twitter.com/crunchbase,B
coprata,Brian Stoner,,Chief Innovation Officer,,,https://twitter.com/crunchbase,B
coprata,Sonia Grego,,Co-Founder,,,https://twitter.com/crunchbase,B
speak-information-technologies,Daniel Finer,https://www.linkedin.com/in/daniel-finer-913b0a101,Engineering,"Non-Management
Engineering",,,A
speak-information-technologies,Kai Skallerud,https://www.linkedin.com/in/kai-skallerud,Founder and CEO,,"Greater Chicago Area, United States, North America",https://twitter.com/crunchbase,B
mindful-mamas-club,Terra LaRock,https://www.linkedin.com/in/terralarock,Founder/CEO,"Executive
Management",,,A
mindful-mamas-club,Tiffany Cornelison,https://www.linkedin.com/in/tiffanycornelison,Director of Product Marketing,"Director
Marketing",,,A
mindful-mamas-club,Amy Gilbert,https://www.linkedin.com/in/amy-gilbert-65097364,Business Management,Non-Management,,,A
mindful-mamas-club,Kristen Schneider,https://www.linkedin.com/in/kristen-schneider-9496099,Product Manager,Non-Management,,,A
mindful-mamas-club,Terra LaRock,https://www.linkedin.com/in/terralarock,Founder and CEO,,"Greater Denver Area, Colorado, United States",https://twitter.com/crunchbase,B
ambra-life,Rohit Chauhan,https://www.linkedin.com/in/rohit-chauhan-2245b260,Scientific Collaborator,,"Kangra, Himachal Pradesh, India",https://twitter.com/crunchbase,B
dudoxx,Walid Boudabbous,,Founder,,"Hamburg, Hamburg, Germany",https://twitter.com/crunchbase,B
dudoxx,Walid Boudabbous,,CTO,,"Hamburg, Hamburg, Germany",https://twitter.com/crunchbase,B
zuri-fertility,Blair Matthews,https://www.linkedin.com/in/blair-matthews-898b6556,Co-Founder & COO,Executive,,,A
zuri-fertility,Beth Holder,https://www.linkedin.com/in/beth-holder-04aa9646,Marketing and Product,Director,,,A
zuri-fertility,Giuliana Zaccardelli,https://www.linkedin.com/in/giulianazaccardelli,Business Management,"Non-Management
Management",,,A
zuri-fertility,Linda Streety (Vignapiano),https://www.linkedin.com/in/linda-streety-vignapiano-b7b7371a,Operations,"Non-Management
Operations",,,A
zuri-fertility,Blair Matthews,,Co-Founder | CEO & President,,,https://twitter.com/crunchbase,B
zuri-fertility,Giuliana Zaccardelli,,Head of Clinical Operations,,,https://twitter.com/giulzacc,B
hi-nexas,Jesse Harris,,CEO,,,https://twitter.com/crunchbase,B
dione-health,Azin Etemadi,,CEO,,,https://www.twitter.com/AzinEtemadi,B
aurabox,Nigel Heap,https://www.linkedin.com/in/nigelheap,Vice President of Engineering,,,,A
aurabox,Christopher Skene,https://www.linkedin.com/in/xtfer/,CTO & Founder,,"Canberra, Australian Capital Territory, Australia",https://twitter.com/crunchbase,B
health-click-away,Ruchika Gupta,https://www.linkedin.com/in/ruchika-gupta-68b3841a,Chief Executive Officer & Founder,"Executive
Management",,,A
health-click-away,Shanti Leavitt,https://www.linkedin.com/in/shanti-leavitt-59285ab2,Sales and Support,Manager,,,A
health-click-away,Deborah Davis,https://www.linkedin.com/in/deborahsdavis,Business Management,Non-Management,,,A
healf-mx,Rafael Gutiérrez,,Head of Operations,,,https://twitter.com/crunchbase,B
healf-mx,Federico Fernández de la Regata Torres,,CEO and Founder,,,https://twitter.com/crunchbase,B
scriptchain-health,Moh Noori,https://www.linkedin.com/in/moh-noori-a77b82196,Founder,"Executive
Management",,,A
scriptchain-health,Moh Noori,https://www.linkedin.com/in/moh-noori,Founder,"Non-Management, Executive
Management",,,A
scriptchain-health,Moh Noori,,Founder and CEO,,,https://twitter.com/mohnoori91?lang=en,B
marble-therapeutics-inc,Aniq Kassam,,Board Observer,,"New York, New York, United States",https://twitter.com/crunchbase,B
accelerate-dental-holdings,Tom Sorber,https://www.linkedin.com/in/tomsorber,Co-Founder / COO,"Executive
Management",,,A
accelerate-dental-holdings,Amberli Warner,https://www.linkedin.com/in/amberli-warner-665051211,Director Program Management,"Director
Product",,,A
accelerate-dental-holdings,Tom Sorber,https://www.facebook.com/thomas.sorber,Co-Founder and COO,,"Salt Lake City, Utah, United States",https://twitter.com/crunchbase,B
accelerate-dental-holdings,Mike Baird,https://www.linkedin.com/in/bairdmike,Co-Founder and CEO,,"Washington, District of Columbia, United States",https://twitter.com/bairdmike,B
vk-digital-health,Charles Nahabedian,https://www.linkedin.com/in/cnahabedian,Chief Executive Officer,"Non-Management, Executive
Management",,,A
vk-digital-health,Charles Nahabedian,https://www.linkedin.com/in/cnahabedian,Chief Executive Officer,,"Potomac, Maryland, United States",https://twitter.com/crunchbase,B
vk-digital-health,Vincent Waterson,https://www.linkedin.com/in/vincentwaterson,Chairman,,"Ventura, California, United States",https://twitter.com/crunchbase,B
hyka,Christopher Hoff,https://www.linkedin.com/in/christopher-hoff-3ba95819,COO,"Executive
Management",,,A
hyka,Jeronimo Beccar,https://www.linkedin.com/in/jeronimo-beccar-b156ba3,Business Management,Non-Management,,,A
hyka,Nick Nissen,,CMO,,,https://twitter.com/crunchbase,B
hyka,Jeronimo Beccar,https://www.linkedin.com/in/jerobeccar/,CEO & Co-Founder,,"Cambridge, Massachusetts, United States",https://twitter.com/crunchbase,B
kismet-8171,Stefan Cordiner,https://www.linkedin.com/in/stefancordiner,COO / Co-Founder,"Non-Management, Executive
Operations",,,A
kismet-8171,Shanti Dhanaraj,https://www.linkedin.com/in/shanti-dhanaraj-616578121,Community Partner,"Non-Management
Management",,,A
kismet-8171,Kimberly Urdiales,https://www.linkedin.com/in/kimberly-urdiales-6b860711b,Business Management,Non-Management,,,A
kismet-8171,Rachel Villanueva,https://www.linkedin.com/in/rachel-villanueva,Business Management,Non-Management,,,A
kismet-8171,charlotte Whitney,https://www.linkedin.com/in/charlotte-whitney-bba2989,Business Management,Non-Management,,,A
kismet-8171,John Gough,https://www.linkedin.com/in/john-gough-385b8130,Business Management,Non-Management,,,A
kismet-8171,Mark Woodland,https://www.kismet.healthcare/,Founder and CEO,,"Melbourne, Victoria, Australia",https://twitter.com/MarkAWoodland?lang=en,B
kismet-8171,Sam Armstrong,,Co-Founder & CECO,,,https://twitter.com/crunchbase,B
kismet-8171,Stefan Cordiner,http://about.me/stefancordiner,COO / Co-Founder,,"Sydney, New South Wales, Australia",http://twitter.com/StefanCordiner,B
kismet-8171,Mathew Ellis,,Co-Founder and CTO,,,https://twitter.com/crunchbase,B
kismet-8171,Lauren Grimes,,Co-Founder and CXO,,,https://twitter.com/crunchbase,B
kismet-8171,Shanti Dhanaraj,,Community Partner,,,https://twitter.com/crunchbase,B
protoqual-learning-system,Alex Altman,https://www.linkedin.com/in/alexaltmanpq,Chief Operating Officer,"Non-Management, Executive
Management, Operations",,,A
protoqual-learning-system,Alan Altman,https://www.linkedin.com/in/alanaltmanmd,Chief Executive Officer,"Non-Management
Management",,,A
protoqual-learning-system,Alex Altman,https://www.linkedin.com/in/alex-altman-7278a7123,Chief Operating Officer,"Non-Management
Operations",,,A
protoqual-learning-system,Alan Altman,https://www.linkedin.com/in/alanaltmanmd,Founder and CEO,,"Nevada, United States, North America",https://twitter.com/crunchbase,B
protoqual-learning-system,Alex Altman,https://www.linkedin.com/in/alex-altman-7278a7123,Chief Operating Officer,,"Rancho Mirage, California, United States",https://twitter.com/crunchbase,B
protoqual-learning-system,Matt McHale,https://www.linkedin.com/in/therealmattmchale/,Chief Revenue Officer,,"Philadelphia, Pennsylvania, United States",https://twitter.com/crunchbase,B
auxhealth,"Daniel Hsu,",https://www.linkedin.com/in/daniel-hsu-1118b96,Owner,Non-Management,,,A
auxhealth,Kathleen Tomes,https://www.linkedin.com/in/kathleen-tomes-40008012,CEO,Non-Management,,,A
auxhealth,Ilya Valmianski,https://www.linkedin.com/in/ilya-x-valmianski,Operations,"Non-Management
Operations",,,A
auxhealth,Iris Yan,https://www.linkedin.com/in/iris-yan-53995b1a5,Operations,"Non-Management
Operations",,,A
auxhealth,Yuqiao C.,https://www.linkedin.com/in/yuqiaochen,Engineering,"Non-Management
Engineering",,,A
auxhealth,William Shen,https://www.facebook.com/thewilliamshen,Co-Founder,,"Boston, Massachusetts, United States",https://twitter.com/williamzshen,B
knowlepsy,Ali-Frederic Ben-Amor,https://www.linkedin.com/in/ali-frederic-ben-amor-411275189,Co-Founder,"Executive
Management",,,A
malla-364e,Bethan Thomas,https://www.linkedin.com/in/bethan-thomas-87331620,Marketing and Product,Director,,,A
malla-364e,Harry Dipple,https://www.linkedin.com/in/harry-dipple-a5a007108,Sales and Support,Manager,,,A
malla-364e,Ammar Mian,https://www.linkedin.com/in/ammar-mian,Business Management,Non-Management,,,A
malla-364e,Alla Lakhman,https://www.linkedin.com/in/alla-lakhman-4b540128,Business Management,Manager,,,A
malla-364e,Morris Esformes,https://www.linkedin.com/in/morris-esformes,Co-Founder,,"Los Angeles, California, United States",https://twitter.com/crunchbase,B
kismet-health,Kim Williamson,https://www.linkedin.com/in/kim-williamson-0a14006,Creative Director,"Director
Marketing",,,A
kismet-health,Jeremy Gouveia,https://www.linkedin.com/in/jeremygouveia,Chief Executive Officer,"Non-Management
Management",,,A
creative-life-lab-inc,Israel Almeida,https://www.linkedin.com/in/israel-almeida-9b7403219,Creative Director,"Director
Marketing",,,A
creative-life-lab-inc,Caio Almeida,https://www.linkedin.com/in/caio-almeida-28716728,Chief Technology Officer,"Non-Management
Engineering",,,A
creative-life-lab-inc,Nezahat Ozlem Arat,,CEO,,,https://twitter.com/crunchbase,B
acesis-biomed,Vassilios Papadopoulos,,"Chairman of SAB, Director, and Co-Founder",,,https://twitter.com/crunchbase,B
acesis-biomed,Costas Karatzas,,"CEO, Director, and Co-Founder",,,https://twitter.com/crunchbase,B
simmunome-ai,Armstrong Murira,https://www.linkedin.com/in/armstrong-murira-a080b223,Marketing and Product,Manager,,,A
simmunome-ai,Nardin Nakhla,https://www.facebook.com/nardin.nakhla,CTO and Co-Founder,,"Montréal, Quebec, Canada",https://twitter.com/crunchbase,B
belong-ly,Danielle Allen,https://www.yourmomentoftruth.design/,Clinical Outreach and Development Manager,,"Vestal, New York, United States",https://twitter.com/crunchbase,B
belong-ly,Doug Kaufman,,"CEO, Co-Founder",,,https://twitter.com/crunchbase,B
belong-ly,David Rasch,https://www.linkedin.com/in/rasch,"CTO, Co-Founder",,"Cary, North Carolina, United States",https://twitter.com/crunchbase,B
4pets-care,Javier de la Hoz,https://up3.in/nosotros/,CEO & Founder,,"Madrid, Madrid, Spain",https://www.twitter.com/javierdelahozm,B
upper-3028,Sara Auld,https://www.linkedin.com/in/saraauld,Founder and CEO,"Executive
Management",,,A
upper-3028,Sara Auld,,Founder & CEO,,,https://twitter.com/crunchbase,B
decentracare,Matthew Richardson,,CEO,,,https://twitter.com/crunchbase,B
justhealth,Maximilian Roederstein,https://just-health.care/,CPO,,"München, Bayern, Germany",https://twitter.com/crunchbase,B
pulzaid,Chris Consoles,https://www.linkedin.com/in/chris-consoles-78b03917b,Sales and Support,Director,,,A
pulzaid,Brendan Liu,https://www.linkedin.com/in/brendan-liu,Co-CEO and Co-Founder,,,,A
pulzaid,Brendan Liu,https://www.linkedin.com/in/brendan-liu/,CEO & Co-Founder,,"Los Angeles, California, United States",https://twitter.com/crunchbase,B
enavvi,Kishan Patel,https://www.linkedin.com/in/kishanpat95,Engineering,"Non-Management
Engineering",,,A
enavvi,Simon Chang,,CEO,,,https://twitter.com/crunchbase,B
enavvi,Reddy Pathakota,,CFO,,,https://twitter.com/crunchbase,B
enavvi,Alexander Prevallet,,CGO,,,https://twitter.com/crunchbase,B
therab-medical,Alexa Jones,https://www.linkedin.com/in/alexajones1,Founder and CEO,"Non-Management, Executive
Management, Operations",,,A
therab-medical,Alexa Jones,https://www.linkedin.com/in/alexajones1/,Founder and CEO,,"Lansing, Michigan, United States",https://twitter.com/crunchbase,B
paperade,Elijah Buford,https://www.linkedin.com/in/elijahbuford,Co-Founder & CEO,"Executive
Management",,,A
paperade,Elijah Buford,,Co-Founder & CEO,,"United States, North America",https://twitter.com/crunchbase,B
paperade,Francois Birrori,,Co-Founder & CTO,,,https://twitter.com/crunchbase,B
bioeureka,Kim Cayer-Roy,,Board Member,,,https://twitter.com/crunchbase,B
bioeureka,Mohamed M Diallo,,Board Member,,,https://twitter.com/crunchbase,B
bioeureka,Emile Grenier,,Board Member,,,https://twitter.com/crunchbase,B
moody,Samantha Moody,https://www.linkedin.com/in/samantha-moody-6a6525140,Business Management,Non-Management,,,A
moody,Karla Vitrone,https://www.linkedin.com/in/karla-vitrone-83362413,Co-Founder + COO,"Executive
Operations",,,A
moody,Karla Vitrone,https://www.linkedin.com/in/karla-vitrone-83362413,Co-Founder,,"New York, New York, United States",https://twitter.com/crunchbase,B
moody,Ingrid Dahl-Olsen,https://www.linkedin.com/in/ingridelin,CTO,,"England, United Kingdom, Europe",https://twitter.com/crunchbase,B
moody,Lola Ross,https://www.linkedin.com/in/lola-ross-bsc-mbant-cnhc-2861143,Co-Founder and Head of Nutrition,,"London, England, United Kingdom",https://twitter.com/crunchbase,B
moody,Amy Thomson,https://www.linkedin.com/in/amy-thomson-ab056325,Co-Founder,,"London, England, United Kingdom",https://twitter.com/crunchbase,B
pulse-charter-connect,Laura Epstein,https://www.linkedin.com/in/laura-epstein-mba,Business Management,Non-Management,,,A
biophysical-therapeutics,Michael Forrest,,Founder CEO,,,https://twitter.com/Forrest_PhD,B
sensible-biotechnologies,Kendra Berger,https://www.linkedin.com/in/kendra-berger-93ab50,Executive Director Finance and Controller,"Non-Management
Finance",,,A
sensible-biotechnologies,Paul Sobotka,https://www.linkedin.com/in/pasobotka,Vice President Clinical Research,"Non-Management
Management",,,A
sensible-biotechnologies,Miroslav Gasparek,,CEO & Founder,,,https://twitter.com/crunchbase,B
mineral-city-biotechnologies,Travis Meyer,https://www.linkedin.com/in/travisemeyer/,"CEO, CIO",,,https://twitter.com/crunchbase,B
mineral-city-biotechnologies,Chandana Kurra,,President,,,https://twitter.com/crunchbase,B
bluemind-ai,Roman Fitzjalen,https://www.linkedin.com/in/roman-fitzjalen-2a7176215,Chief Executive Officer,"Non-Management
Management",,,A
bluemind-ai,Roman Fitzjalen,,CEO,,,https://twitter.com/crunchbase,B
genevation,Prasun Chakraborty,,CEO and Founder,,,https://twitter.com/crunchbase,B
pd-buddy,Beatirce Zatorska,https://pdbuddy.app/,Founder & CEO,,"Oxford, Oxfordshire, United Kingdom",https://twitter.com/crunchbase,B
